"","500","500","500","500","500","500","500","500","500","500","500","500","500","501","500","500","505X","500","500","500","506","500","500X","501","505X","500","500X","505X","500","500","503","500X","505X","500","500","500","500X","503","500","500","505X","500X","506","500","500","500","500","505X","500","500","500","500","500","500","500","500","500N","500","500N","500","500","500"
"Highfields","07:27","08:03","11:12","11:42","12:12","12:42","13:12","13:42","14:12","14:42","15:12","15:42","16:07","","16:12","16:32","16:40","16:48","16:53","16:58","","17:08","","","17:20","17:28","","17:40","17:48","17:53","18:11","","17:55","18:03","18:13","09:03","","18:30","18:28","18:33","18:40","","","19:03","19:08","19:18","09:18","19:30","19:42","20:12","20:42","21:12","22:12","22:42","23:12","23:27","23:57","09:33","00:12","09:48","10:12","10:42"
"Dublin Road (opp Penneys)","07:28","08:05","11:13","11:43","12:13","12:43","13:13","13:43","14:13","14:43","15:13","15:43","16:08","","16:13","16:33","16:41","16:50","16:55","17:00","","17:10","","","17:21","17:30","","17:41","17:50","17:55","18:13","","17:56","18:05","18:15","09:05","","18:32","18:30","18:35","18:41","","","19:05","19:10","19:20","09:20","19:31","19:43","20:13","20:43","21:13","22:13","22:43","23:13","23:28","23:58","09:35","00:13","09:50","10:13","10:43"
"Malahide Roundabout","07:29","08:07","11:14","11:44","12:14","12:44","13:14","13:44","14:14","14:44","15:14","15:44","16:09","","16:14","16:34","16:42","16:52","16:57","17:02","","17:12","","","17:22","17:32","","17:42","17:52","17:57","18:15","","17:57","18:07","18:17","09:07","","18:34","18:32","18:37","18:42","","","19:07","19:12","19:22","09:22","19:32","19:44","20:14","20:44","21:14","22:14","22:44","23:14","23:29","23:59","09:37","00:14","09:52","10:14","10:44"
"Seatown Road","07:31","08:11","11:16","11:46","12:16","12:46","13:16","13:46","14:16","14:46","15:16","15:46","16:11","08:19","16:16","16:36","","16:56","17:01","17:06","17:02","17:16","17:16","08:39","","17:36","17:31","","17:56","18:01","18:19","17:56","","18:11","18:21","09:11","18:16","18:38","18:36","18:41","","18:46","18:52","19:11","19:16","19:26","09:26","","19:46","20:16","20:46","21:16","22:16","22:46","23:16","23:31","00:01","09:41","00:16","09:56","10:16","10:46"
"West Seatown","07:33","08:13","11:18","11:48","12:18","12:48","13:18","13:48","14:18","14:48","15:18","15:48","16:13","","16:18","16:38","","16:58","17:03","17:08","17:04","17:18","17:18","08:41","","17:38","17:33","","17:58","18:03","18:21","17:58","","18:13","18:23","09:13","18:18","18:40","18:38","18:43","","18:48","18:54","19:13","19:18","19:28","09:28","","19:48","20:18","20:48","21:18","22:18","22:48","23:18","23:33","00:03","09:43","00:18","09:58","10:18","10:48"
"Saint Colmcille's GFC","07:36","08:16","11:21","11:51","12:21","12:51","13:21","13:51","14:21","14:51","15:21","15:51","16:16","","16:21","16:41","","17:01","17:06","17:11","17:07","17:21","17:21","08:44","","17:41","17:36","","18:01","18:06","18:24","18:01","","18:16","18:26","09:16","18:21","18:43","18:41","18:46","","18:51","18:57","19:16","19:21","19:31","09:31","","19:51","20:21","20:51","21:21","22:21","22:51","23:21","23:36","00:06","09:46","00:21","10:01","10:21","10:51"
"Jugback Lane","07:37","08:17","11:22","11:52","12:22","12:52","13:22","13:52","14:22","14:52","15:22","15:52","16:17","","16:22","16:42","","17:02","17:07","17:12","17:08","17:22","17:22","08:45","","17:42","17:37","","18:02","18:07","18:25","18:02","","18:17","18:27","09:17","18:22","18:44","18:42","18:47","","18:52","18:58","19:17","19:22","19:32","09:32","","19:52","20:22","20:52","21:22","22:22","22:52","23:22","23:37","00:07","09:47","00:22","10:02","10:22","10:52"
"Applewood Estate","07:38","08:18","11:23","11:53","12:23","12:53","13:23","13:53","14:23","14:53","15:23","15:53","16:18","","16:23","16:43","","17:03","17:08","17:13","17:09","17:23","17:23","08:46","","17:43","17:38","","18:03","18:08","18:26","18:03","","18:18","18:28","09:18","18:23","18:45","18:43","18:48","","18:53","18:59","19:18","19:23","19:33","09:33","","19:53","20:23","20:53","21:23","22:23","22:53","23:23","23:38","00:08","09:48","00:23","10:03","10:23","10:53"
"Miller's Glen","","","","","","","","","","","","","","","","","","","","","17:11","","","","","","","","","","","","","","","","","","","","","","19:01","","","","","","","","","","","","","","","","","","",""
"Laurelton","07:39","08:19","11:24","11:54","12:24","12:54","13:24","13:54","14:24","14:54","15:24","15:54","16:19","","16:24","16:44","","17:04","17:09","17:14","17:15","17:24","17:24","08:47","","17:44","17:39","","18:04","18:09","18:27","18:04","","18:19","18:29","09:19","18:24","18:46","18:44","18:49","","18:54","19:05","19:19","19:24","19:34","09:34","","19:54","20:24","20:54","21:24","22:24","22:54","23:24","23:39","00:09","09:49","00:24","10:04","10:24","10:54"
"Cianlea","07:39","08:19","11:24","11:54","12:24","12:54","13:24","13:54","14:24","14:54","15:24","15:54","16:19","","16:24","16:44","","17:04","17:09","17:14","17:12","17:24","17:24","08:47","","17:44","17:39","","18:04","18:09","18:27","18:04","","18:19","18:29","09:19","18:24","18:46","18:44","18:49","","18:54","19:05","19:19","19:24","19:34","09:34","","19:54","20:24","20:54","21:24","22:24","22:54","23:24","23:39","00:09","09:49","00:24","10:04","10:24","10:54"
"Ardcian","07:40","08:20","11:25","11:55","12:25","12:55","13:25","13:55","14:25","14:55","15:25","15:55","16:20","","16:25","16:45","","17:05","17:10","17:15","17:16","17:25","17:25","08:48","","17:45","17:40","","18:05","18:10","18:28","18:05","","18:20","18:30","09:20","18:25","18:47","18:45","18:50","","18:55","19:06","19:20","19:25","19:35","09:35","","19:55","20:25","20:55","21:25","22:25","22:55","23:25","23:40","00:10","09:50","00:25","10:05","10:25","10:55"
"Lios Cian","07:41","08:21","11:26","11:56","12:26","12:56","13:26","13:56","14:26","14:56","15:26","15:56","16:21","","16:26","16:46","","17:06","17:11","17:16","17:17","17:26","17:26","08:48","","17:46","17:41","","18:06","18:11","18:29","18:06","","18:21","18:31","09:21","18:26","18:48","18:46","18:51","","18:56","19:07","19:21","19:26","19:36","09:36","","19:56","20:26","20:56","21:26","22:26","22:56","23:26","23:41","00:11","09:51","00:26","10:06","10:26","10:56"
"Valley View","07:41","08:21","11:26","11:56","12:26","12:56","13:26","13:56","14:26","14:56","15:26","15:56","16:21","","16:26","16:46","","17:06","17:11","17:16","17:17","17:26","17:26","08:49","","17:46","17:41","","18:06","18:11","18:29","18:06","","18:21","18:31","09:21","18:26","18:48","18:46","18:51","","18:56","19:07","19:21","19:26","19:36","09:36","","19:56","20:26","20:56","21:26","22:26","22:56","23:26","23:41","00:11","09:51","00:26","10:06","10:26","10:56"
"Saint Cronan's Sout","07:42","08:22","11:27","11:57","12:27","12:57","13:27","13:57","14:27","14:57","15:27","15:57","16:22","","16:27","16:47","","17:07","17:12","17:17","17:18","17:27","17:27","08:49","","17:47","17:42","","18:07","18:12","18:30","18:07","","18:22","18:32","09:22","18:27","18:49","18:47","18:52","","18:57","19:08","19:22","19:27","19:37","09:37","","19:57","20:27","20:57","21:27","22:27","22:57","23:27","23:42","00:12","09:52","00:27","10:07","10:27","10:57"
"Swords Manor","07:43","08:23","11:28","11:58","12:28","12:58","13:28","13:58","14:28","14:58","15:28","15:58","16:23","","16:28","16:48","","17:08","17:13","17:18","17:19","17:28","17:28","08:50","","17:48","17:43","","18:08","18:13","18:31","18:08","","18:23","18:33","09:23","18:28","18:50","18:48","18:53","","18:58","19:09","19:23","19:28","19:38","09:38","","19:58","20:28","20:58","21:28","22:28","22:58","23:28","23:43","00:13","09:53","00:28","10:08","10:28","10:58"
